date,date_local,source,title,link,lang,ranking
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,elespanol_energy_news,CALOR Y EFICIENCIA ENERGÉTICACALOR Y EFICIENCIA ENERGÉTICA,https://www.elespanol.com/temas/energia___calor_y_eficiencia_energetica/,fr,5
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,elespanol_energy_news,BIOGASESBIOGASES,https://www.elespanol.com/temas/energia___biogas/,en,4
2025-07-08 15:31:49+00:00,2025-07-08 17:31:49+02:00,elespanol_energy_news,El sector gasista aplaude el aval de Bruselas a las calderas de gas más allá de 2040,https://www.elespanol.com/invertia/empresas/energia/20250708/sector-gasista-aplaude-aval-bruselas-calderas-gas-alla/1003743839302_0.html,es,2
2025-07-08 16:59:55+00:00,2025-07-08 18:59:55+02:00,energiaoltre_news,La riunione sull'Ex Ilva è stata rinviata al 15 luglio,https://energiaoltre.it/la-riunione-sullex-ilva-e-stata-rinviata-al-15-luglio/,it,5
2025-07-08 13:21:52+00:00,2025-07-08 15:21:52+02:00,energiaoltre_news,"Sul rinvio Euro 5 un sospiro di sollievo, ma a quale prezzo? Svalutazione, rottamazione e alternative ""green"" sul piatto",https://energiaoltre.it/rinvio-euro-5-un-sospiro-di-sollievo-ma-a-quale-prezzo-svalutazione-rottamazione-e-alternative-green-sul-piatto/,it,4
2025-07-08 14:56:19+00:00,2025-07-08 16:56:19+02:00,energiaoltre_news,Governo accelera procedure VIA e strizza l'occhio a Ponte sullo Stretto e Diga di Genova per raggiungere obiettivi Nato,https://energiaoltre.it/governo-accelera-procedure-via-e-strizza-locchio-a-ponte-sullo-stretto-e-diga-di-genova-per-raggiungere-obiettivi-nato/,it,4
2025-07-08 13:55:27+00:00,2025-07-08 15:55:27+02:00,energiaoltre_news,Chi ha “tramato” contro Sticchi Damiani e perché la poltrona di ACI fa gola?,https://energiaoltre.it/chi-ha-tramato-contro-sticchi-damiani-e-perche-la-poltrona-di-aci-fa-gola/,it,4
2025-07-08 15:08:06+00:00,2025-07-08 17:08:06+02:00,energiaoltre_news,"Ue apre sul Regolamento auto, ma frena: la nuova proposta solo nel 2026",https://energiaoltre.it/ue-apre-ma-frena-sul-regolamento-auto-la-nuova-proposta-solo-nel-2026/,it,5
2025-07-08 13:59:32+00:00,2025-07-08 15:59:32+02:00,energiaoltre_news,"Energia, l’Ue bacchetta l’Italia: “Tasse non green, rinnovabili frenate da burocrazia e investimenti insufficienti”",https://energiaoltre.it/energia-lue-bacchetta-litalia-tasse-non-green-rinnovabili-frenate-da-burocrazia-e-investimenti-insufficienti/,it,3
2025-07-08 13:17:49+00:00,2025-07-08 15:17:49+02:00,energiaoltre_news,"L’Ue approva norme più flessibili sugli stoccaggi di gas, per ridurre i prezzi",https://energiaoltre.it/lue-approva-norme-piu-flessibili-sugli-stoccaggi-di-gas-per-ridurre-i-prezzi/,it,4
